"timestamp (UTC)","chargeType","standingCharge (pence per day)","touPrice (pence per kWh)","blockPrice1 (pence per kWh)","blockPrice2 (pence per kWh)","blockPrice3 (pence per kWh)","blockPrice4 (pence per kWh)","blockThreshold1 (kWh)","blockThreshold2 (kWh)","blockThreshold3 (kWh)"
"2024-01-25","standingCharge","62.07","","","","","","","",""
"2024-01-25 00:00","touPrice","","28.15","","","","","","",""
"2024-01-25 00:30","touPrice","","28.15","","","","","","",""
"2024-01-25 01:00","touPrice","","28.15","","","","","","",""
"2024-01-25 01:30","touPrice","","28.15","","","","","","",""
"2024-01-25 02:00","touPrice","","28.15","","","","","","",""
"2024-01-25 02:30","touPrice","","28.15","","","","","","",""
"2024-01-25 03:00","touPrice","","28.15","","","","","","",""
"2024-01-25 03:30","touPrice","","28.15","","","","","","",""
"2024-01-25 04:00","touPrice","","28.15","","","","","","",""
"2024-01-25 04:30","touPrice","","28.15","","","","","","",""
"2024-01-25 05:00","touPrice","","28.15","","","","","","",""
"2024-01-25 05:30","touPrice","","28.15","","","","","","",""
"2024-01-25 06:00","touPrice","","28.15","","","","","","",""
"2024-01-25 06:30","touPrice","","28.15","","","","","","",""
"2024-01-25 07:00","touPrice","","28.15","","","","","","",""
"2024-01-25 07:30","touPrice","","28.15","","","","","","",""
"2024-01-25 08:00","touPrice","","28.15","","","","","","",""
"2024-01-25 08:30","touPrice","","28.15","","","","","","",""
"2024-01-25 09:00","touPrice","","28.15","","","","","","",""
"2024-01-25 09:30","touPrice","","28.15","","","","","","",""
"2024-01-25 10:00","touPrice","","28.15","","","","","","",""
"2024-01-25 10:30","touPrice","","28.15","","","","","","",""
"2024-01-25 11:00","touPrice","","28.15","","","","","","",""
"2024-01-25 11:30","touPrice","","28.15","","","","","","",""
"2024-01-25 12:00","touPrice","","28.15","","","","","","",""
"2024-01-25 12:30","touPrice","","28.15","","","","","","",""
"2024-01-25 13:00","touPrice","","28.15","","","","","","",""
"2024-01-25 13:30","touPrice","","28.15","","","","","","",""
"2024-01-25 14:00","touPrice","","28.15","","","","","","",""
"2024-01-25 14:30","touPrice","","28.15","","","","","","",""
"2024-01-25 15:00","touPrice","","28.15","","","","","","",""
"2024-01-25 15:30","touPrice","","28.15","","","","","","",""
"2024-01-25 16:00","touPrice","","28.15","","","","","","",""
"2024-01-25 16:30","touPrice","","28.15","","","","","","",""
"2024-01-25 17:00","touPrice","","28.15","","","","","","",""
"2024-01-25 17:30","touPrice","","28.15","","","","","","",""
"2024-01-25 18:00","touPrice","","28.15","","","","","","",""
"2024-01-25 18:30","touPrice","","28.15","","","","","","",""
"2024-01-25 19:00","touPrice","","28.15","","","","","","",""
"2024-01-25 19:30","touPrice","","28.15","","","","","","",""
"2024-01-25 20:00","touPrice","","28.15","","","","","","",""
"2024-01-25 20:30","touPrice","","28.15","","","","","","",""
"2024-01-25 21:00","touPrice","","28.15","","","","","","",""
"2024-01-25 21:30","touPrice","","28.15","","","","","","",""
"2024-01-25 22:00","touPrice","","28.15","","","","","","",""
"2024-01-25 22:30","touPrice","","28.15","","","","","","",""
"2024-01-25 23:00","touPrice","","28.15","","","","","","",""
"2024-01-25 23:30","touPrice","","28.15","","","","","","",""
