"timestamp (UTC)","energyConsumption (m3)"
"2024-01-25 00:30","0.141"
"2024-01-25 01:00","0.071"
"2024-01-25 01:30","0.073"
"2024-01-25 02:00","0.145"
"2024-01-25 02:30","0.145"
"2024-01-25 03:00","0.051"
"2024-01-25 03:30","0.097"
"2024-01-25 04:00","0.151"
"2024-01-25 04:30","0.054"
"2024-01-25 05:00","0.134"
"2024-01-25 05:30","0.158"
"2024-01-25 06:00","0.043"
"2024-01-25 06:30","0.395"
"2024-01-25 07:00","0.254"
"2024-01-25 07:30","0.335"
"2024-01-25 08:00","0.451"
"2024-01-25 08:30","0.243"
"2024-01-25 09:00","0.173"
"2024-01-25 09:30","0.223"
"2024-01-25 10:00","0.185"
"2024-01-25 10:30","0.149"
"2024-01-25 11:00","0.235"
"2024-01-25 11:30","0.098"
"2024-01-25 12:00","0.24"
"2024-01-25 12:30","0.224"
"2024-01-25 13:00","0.157"
"2024-01-25 13:30","0.219"
"2024-01-25 14:00","0.09"
"2024-01-25 14:30","0.221"
"2024-01-25 15:00","0.122"
"2024-01-25 15:30","0.28"
"2024-01-25 16:00","0.214"
"2024-01-25 16:30","0.195"
"2024-01-25 17:00","0.203"
"2024-01-25 17:30","0.25"
"2024-01-25 18:00","0.186"
"2024-01-25 18:30","0.398"
"2024-01-25 19:00","0.168"
"2024-01-25 19:30","0.235"
"2024-01-25 20:00","0.272"
"2024-01-25 20:30","0.156"
"2024-01-25 21:00","0.312"
"2024-01-25 21:30","0.182"
"2024-01-25 22:00","0.233"
"2024-01-25 22:30","0.148"
"2024-01-25 23:00","0.253"
"2024-01-25 23:30","0.193"
"2024-01-26 00:00","0.067"
